,quality,venue_area,venue_impact_factor,venue_single-blind,review,embedded_prestige,mean_citation,embedded_experience
0,0.488248507,7,2.885981092,0,4.458829565,7.915378302,16.33333333,16.1738547
1,0.439885565,0,8.036826078,1,4.296197222,0.911610291,9,1.229936358
2,0.309776589,1,2.725073619,0,3.893210849,3.12366923,72.28571429,20.07897579
3,0.563011495,1,1.659270748,1,5.921439077,33.14912182,181.2,20.49405719
4,0.306468396,2,4.788023974,1,3.65789063,0.911610291,3,13.54270607
5,0.512122057,9,2.945309362,0,5.205904119,33.14912182,51,3.132232364
6,0.509776445,9,2.945309362,0,4.842995966,5.872958394,15.5,1
7,0.447829897,2,30.62050318,1,2.655044847,9.647383295,109.5,11.15880784
8,0.418668004,3,8.402094848,0,3.509267666,7.984726305,97,27.44323748
9,0.592154463,1,8.727797183,1,4.927653334,20.69591141,453.5,26.50987772
10,0.49585321,3,8.402094848,0,4.218976476,13.44707592,86,20.91682184
11,0.543252426,6,15.23658774,1,4.10022178,6.854061074,181.5,26.75175252
12,0.305074595,1,8.727797183,1,3.785142071,0.736853549,1,16.12706596
13,0.430258105,4,5.229631394,1,5.144687571,10.2624912,108.3333333,16.06188734
14,0.384120926,4,1.624035873,0,4.892502094,11.72608539,85.33333333,10.60143044
15,0.480765522,1,8.7222919,0,4.377441795,5.755191992,20,1
16,0.48527131,6,2.523482699,1,5.885214027,20.77172514,311.6666667,14.64352221
17,0.614368759,1,0.7034131,1,5.535012321,4.565591008,531.3333333,12.9439346
18,0.56651678,3,28.05221767,0,4.216904601,15.05784232,493,21.18554165
19,0.489790946,9,2.945309362,0,5.075567981,25.98254154,24,1
20,0.591099219,4,1.624035873,0,5.238916307,11.34444571,426.5,18.56012078
21,0.415178565,3,4.731704448,0,4.467908074,0.911610291,2.5,1
22,0.6007358,3,8.402094848,0,4.706463442,0.911610291,190,16.92502424
23,0.618260522,4,5.229631394,1,6.603487774,21.92870917,340.6666667,28.35238891
24,0.524394906,3,18.4222621,0,4.040327701,7.872011523,235,24.27226825
25,0.53777262,4,4.381387002,1,6.641793923,17.17061818,544.5,29.1801292
26,0.545893004,3,15.31270024,1,4.321822233,8.394328467,30.5,1.042454849
27,0.299345248,7,3.524652059,0,3.880247263,0.736853549,1,21.96426691
28,0.30815289,2,8.938704278,0,3.425875616,0.867921106,1,15.2312225
29,0.532554694,4,2.83639394,1,5.845571886,19.77107631,121.5,11.79622302
30,0.536027847,1,8.727797183,1,5.67868281,16.39416744,313.8333333,27.67170825
